Hour,Country Name,Operator Name,Attempts,Answered,A-Release %,NER,ASR,ConV Time (Min),ACT (Sec),CST (Sec)
27-10-2021 03:00,UAE,UAE-Du-AREDU,4,1,,25.00%,25.00%,72,"4,339",1.13
27-10-2021 08:00,Jordan,Jordan-Zain-JORFL,72,26,4.69%,100.00%,36.11%,72,166,3.28
27-10-2021 06:00,Egypt,Egypt-Mobinil-EGYAR,53,12,,100.00%,22.64%,72,359,3.61
27-10-2021 07:00,Egypt,Egypt-Vodafone-EGYMS,80,16,,95.00%,20.00%,71,267,3.68
27-10-2021 05:00,India,India-Tata,109,27,5.71%,97.25%,24.77%,70,155,3.65
27-10-2021 00:00,Bahrain,Bahrain-Batelco-BHRBT,107,35,,98.13%,32.71%,70,119,6.06
27-10-2021 08:00,India,India-Bpl,66,30,12.31%,95.45%,45.45%,69,139,3.96
27-10-2021 08:00,Pakistan,Pakistan-Waridtel-PAKWA,7,3,,100.00%,42.86%,67,"1,347",4.63
27-10-2021 00:00,Sudan,Sudan-Mtn-SDNBT,14,7,21.43%,100.00%,50.00%,67,577,9.31
27-10-2021 10:00,Turkey,Turkey-TurkCell-TURTC,95,26,4.35%,96.84%,27.37%,67,155,4.43
27-10-2021 10:00,India,India-Vodafone,63,27,16.67%,96.83%,42.86%,67,149,3.79
27-10-2021 00:00,Germany,Germany-T-Mobile-DEUD1,9,3,,100.00%,33.33%,66,"1,311",5.32
27-10-2021 12:00,Italy,Italy-Wind-ITAWI,55,34,3.77%,94.55%,61.82%,64,114,4.34
27-10-2021 07:00,India,India-Bpl,46,26,15.22%,100.00%,56.52%,64,148,3.52
27-10-2021 12:00,Yemen,Yemen-Sabafon-YEMSA,175,23,4.52%,98.29%,13.14%,62,162,11.14
27-10-2021 05:00,Yemen,Yemen-Mtn-YEMSP,46,8,9.09%,100.00%,17.39%,61,459,5.83
27-10-2021 09:00,India,India-Aircel,49,25,18.37%,100.00%,51.02%,61,146,3.86
27-10-2021 06:00,India,India-Vodafone,42,15,,95.24%,35.71%,61,244,3.63
27-10-2021 12:00,Turkey,Turkey-TurkCell-TURTC,73,18,1.49%,98.63%,24.66%,59,197,4.22
27-10-2021 10:00,Kuwait,Kuwait-Wataniya-KWTNM,18,11,,100.00%,61.11%,58,319,4.09
27-10-2021 11:00,Pakistan,Pakistan-Ufone-PAKUF,178,42,1.35%,94.94%,23.60%,58,83,3.53
27-10-2021 02:00,United Kingdom,UK-T-Mobile-GBRME,15,9,6.67%,100.00%,60.00%,57,377,3.62
27-10-2021 11:00,United Kingdom,UK-Vodafone-GBRVF,30,10,7.69%,66.67%,33.33%,56,335,2.87
27-10-2021 00:00,Chad,Chad-Mic-TCDML,1,1,,100.00%,100.00%,56,"3,333",12.22
27-10-2021 09:00,Bahrain,Bahrain-Zain-BHRMV,83,32,,100.00%,38.55%,56,104,5.07
27-10-2021 12:00,Qatar,Qatar-Qtel-QATQT,65,28,,100.00%,43.08%,53,113,4.3
27-10-2021 01:00,USA/Canada,USA-ATT-Cingular-USACG,24,9,,100.00%,37.50%,53,350,4.56
27-10-2021 12:00,Pakistan,Pakistan-Ufone-PAKUF,165,34,,86.67%,20.61%,52,92,3.14
27-10-2021 02:00,Qatar,Qatar-Qtel-QATQT,4,1,,100.00%,25.00%,52,"3,102",2.73
27-10-2021 12:00,USA/Canada,USA-ATT-Cingular-USACG,44,10,,100.00%,22.73%,50,302,4.93
27-10-2021 09:00,United Kingdom,UK-T-Mobile-GBRME,50,16,,94.00%,32.00%,50,188,3.65
27-10-2021 10:00,Lebanon,Lebanon-MTC-M1C2-LBNLC,39,10,,94.87%,25.64%,50,298,4.84
27-10-2021 12:00,Switzerland,Switzerland-Swisscom-CHEC1,24,15,,100.00%,62.50%,49,198,6.47
27-10-2021 10:00,USA/Canada,USA-ATT-Cingular-USACG,59,19,1.69%,98.31%,32.20%,49,154,5.26
27-10-2021 10:00,India,India-Aircel,77,22,10.00%,90.91%,28.57%,49,132,3.48
27-10-2021 02:00,Jordan,Jordan-Zain-JORFL,15,7,,100.00%,46.67%,48,415,3.25
27-10-2021 10:00,Spain,Spain-Orange-ESPRT,19,8,,100.00%,42.11%,48,359,4.08
27-10-2021 02:00,Bangladesh,Bangladesh-Grameen-BGDGP,130,29,8.46%,99.23%,22.31%,47,98,2.2
27-10-2021 11:00,Oman,Oman-Omanmobile-OMNGT,27,15,,100.00%,55.56%,47,188,4.55
27-10-2021 11:00,Kuwait,Kuwait-Viva-KWTKT,22,9,,95.45%,40.91%,46,303,4.96
27-10-2021 11:00,France,France-SFR-FRAF2,9,6,11.11%,100.00%,66.67%,46,455,2.48
27-10-2021 05:00,Philippines,Philippines-Globe-PHLGT,3,1,,33.33%,33.33%,45,"2,721",5.72
27-10-2021 03:00,Yemen,Yemen-Sabafon-YEMSA,15,5,26.67%,100.00%,33.33%,45,542,6.34
27-10-2021 00:00,USA/Canada,Canada-Bell-Mobility-CANBM,1,1,,100.00%,100.00%,44,"2,635",4.34
27-10-2021 04:00,India,India-Tata,22,11,23.81%,100.00%,50.00%,44,238,4.26
27-10-2021 10:00,Pakistan,Pakistan-Ufone-PAKUF,167,31,,82.04%,18.56%,44,84,2.72
27-10-2021 11:00,Morocco,Morocco-Orange-MARMT,28,11,,100.00%,39.29%,44,238,4.14
27-10-2021 09:00,Greece,Greece-Cosmote-GRCCO,3,3,,100.00%,100.00%,43,851,5.12
27-10-2021 06:00,India,India-Unitech,101,15,,91.09%,14.85%,42,170,3.93
27-10-2021 09:00,USA/Canada,USA-ATT-Cingular-USACG,43,12,,100.00%,27.91%,42,212,4.57
27-10-2021 10:00,Bangladesh,Bangladesh-Banglalink-BGDBL,164,32,5.52%,94.51%,19.51%,42,80,2.44
27-10-2021 11:00,Yemen,Yemen-Sabafon-YEMSA,169,14,1.99%,99.41%,8.28%,42,182,9.91
27-10-2021 06:00,Philippines,Philippines-Globe-PHLGT,10,4,30.00%,100.00%,40.00%,42,629,5.44
27-10-2021 03:00,India,India-Bpl,3,2,33.33%,100.00%,66.67%,42,"1,257",6.7
27-10-2021 09:00,Jordan,Jordan-Umniah-JORUM,37,15,,94.59%,40.54%,42,167,3.25
27-10-2021 00:00,India,India-Idea,33,3,3.45%,96.97%,9.09%,42,835,4.78
27-10-2021 12:00,UAE,UAE-Du-AREDU,37,21,,97.30%,56.76%,42,119,2.63
27-10-2021 05:00,India,India-Vodafone,24,5,,95.83%,20.83%,41,496,4
27-10-2021 11:00,Qatar,Qatar-Qtel-QATQT,57,28,,94.74%,49.12%,41,88,6.45
27-10-2021 11:00,Spain,Spain-Vodafone-ESPAT,6,3,16.67%,100.00%,50.00%,41,815,4.3
27-10-2021 04:00,Egypt,Egypt-Mobinil-EGYAR,45,9,2.50%,97.78%,20.00%,38,255,3.67
27-10-2021 11:00,India,India-Vodafone,43,18,21.43%,97.67%,41.86%,38,127,4.22
27-10-2021 02:00,Bahrain,Bahrain-Zain-BHRMV,16,5,,100.00%,31.25%,37,448,5.32
27-10-2021 03:00,Bangladesh,Bangladesh-Banglalink-BGDBL,66,14,,98.48%,21.21%,37,160,1.92
27-10-2021 11:00,Netherlands,Netherlands-T-Mobile-NLDPN,27,15,,100.00%,55.56%,37,148,2.29
27-10-2021 01:00,Italy,Italy-Wind-ITAWI,8,5,,75.00%,62.50%,37,440,3.54
27-10-2021 04:00,India,India-Idea,52,18,7.69%,98.08%,34.62%,36,121,4.34
27-10-2021 09:00,Kenya,Kenya-Safaricom-KENSA,23,10,4.55%,100.00%,43.48%,36,217,4.84
27-10-2021 12:00,India,India-Vodafone,73,20,5.63%,95.89%,27.40%,36,107,4.79
27-10-2021 10:00,Qatar,Qatar-Qtel-QATQT,67,29,1.49%,98.51%,43.28%,35,73,3.95
27-10-2021 09:00,France,France-Orange-FRAF1,28,9,,100.00%,32.14%,34,230,3.2
27-10-2021 05:00,India,India-Unitech,53,9,,90.57%,16.98%,34,226,5.98
27-10-2021 11:00,UAE,UAE-Du-AREDU,37,20,,94.59%,54.05%,34,101,2.52
27-10-2021 12:00,Oman,Oman-Omanmobile-OMNGT,29,14,,96.55%,48.28%,33,143,4.36
27-10-2021 00:00,Bangladesh,Bangladesh-Grameen-BGDGP,89,8,2.27%,98.88%,8.99%,33,250,2.3
27-10-2021 11:00,Germany,Germany-T-Mobile-DEUD1,36,12,2.94%,88.89%,33.33%,33,167,5.64
27-10-2021 01:00,France,France-Orange-FRAF1,23,16,,100.00%,69.57%,32,122,2.69
